,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3
tas,2015,1.0421372193155019,1.0588129156856496,0.8277059195031313,0.7022744812679207,1.3282385023919072,1.5430866931731373,1.263989024057982,1.5637856388077533,1.2612051259168358,1.3881750061625933,0.9127966463707177,1.2234522104263306,1.54643154809429,0.5139425883879625,1.0419066941995965,1.0807677567540754,1.257581084849387
tas,2016,1.136040782984395,0.9143055352923568,1.0177727506736147,0.6968894142805103,1.4305428527326,1.5714750941815983,1.2703118415812327,1.549477083662552,1.2776185009467962,1.386886178322437,1.000682828202334,1.3344396352767944,1.5725533244101324,0.45811004989021836,0.9693623011595633,1.125706757955328,1.391366695454219
tas,2017,1.062928796124216,0.9454222982653088,1.085670105230264,0.9624468646467695,1.4349021101636623,1.7910041842881792,1.3671072690219244,1.5002635736286767,1.1838878965300286,1.587420177097428,1.0284468329463816,1.553082823753357,1.6240994397124144,0.5574051762940778,1.043545728530977,1.0086567936730308,1.4304637151194963
tas,2018,1.0484651798574731,0.9275946332633206,0.9319595454939957,1.0074250920355279,1.6500684965809331,1.701243581262048,1.4216192560811152,1.5287552780189582,1.2057907142338042,1.665379190238184,1.0316504593445945,1.63720703125,1.5416729701219698,0.7620244401644479,0.9719314682777735,1.100679898620503,1.3821883322789148
tas,2019,1.1922989599305633,1.1047294156856016,0.9618740108718195,0.7845780667706634,1.4814886051825908,1.6333619681530063,1.5461275689613008,1.7221331350882945,1.3168567008096328,1.7138614624634272,1.0521628424210359,1.4934362173080444,1.6705281993447822,1.0475093205393382,1.2221522277670733,1.3324998274714897,1.5322830137908927
tas,2020,1.165005135403419,1.2434964756494178,1.0236113217262595,0.9243707033216708,1.418557674200888,1.6196988651660529,1.4506996631640494,1.7869691775698537,1.1284822393227454,1.6947172650792623,1.0531576153479183,1.4601364135742188,1.7433577828444318,1.2095066881406826,1.3005110589661513,1.3562113806043072,1.5203867947072354
tas,2021,1.3075413255749642,1.4170649722690787,1.1426635166695338,0.9299559047116285,1.5454400673160933,1.6302698051391313,1.3936307255551081,1.7799638913067592,1.3546512102013015,1.5775713265040707,1.1221331708620188,1.5898793935775757,1.8722111644524801,0.8262126352784094,1.2726449182394504,1.2233062951375995,1.6048710180463293
tas,2022,1.377385713783795,1.2614490706349624,1.220210054737412,0.8607444423986502,1.6536466130555425,1.7006487294167745,1.3831125872502998,1.7256662602747639,1.407017906681806,1.595956609531915,1.1970866117306922,1.602874755859375,2.085513993420264,0.8099594042688617,1.2079838943093317,1.1557383152584844,1.6514178046487775
tas,2023,1.357839471308954,1.2423639971697564,1.0907986873350193,1.1188522713661087,1.5130350423933834,2.041587596209728,1.5256106157613658,1.7486990335787216,1.3968761002257442,1.701377283588016,1.1525969876063489,1.7252273559570312,2.0535491170844815,0.9780231759719603,1.0813131601804475,1.3673910897881758,1.5748021511315073
tas,2024,1.5324242978473421,1.3642396972874167,1.2122281484224497,1.0338567887970669,1.7035237698470287,2.123763325240892,1.6064013647575308,1.6971072714507234,1.4523951107576825,1.9573150470313767,1.215292414278892,1.7784957885742188,2.1097735278449647,1.1780942344140992,1.1552492082336414,1.4507382291997526,1.4992357331678552
tas,2025,1.5268743625368255,1.4016752757169684,1.3671687358351978,0.9163242260959995,1.780280147251446,1.9573195370491543,1.5956723707865403,1.9316692971793923,1.4184205681188995,1.8572952320961253,1.3004333233920515,1.782636046409607,2.0146054098218875,1.2493072577963698,1.2524707004266513,1.4557567482246252,1.5005708544931669
tas,2026,1.3933309688696813,1.3646941514781095,1.3008024320418865,1.0970891011404877,1.5261179943138454,2.0680429599643637,1.6978936600426995,2.0506854403218995,1.356591289510547,1.8043300534606932,1.2370826144279192,1.512860655784607,2.1089293869633536,0.986822663693791,1.3640345821871733,1.463183814625604,1.6310972793731366
tas,2027,1.5493195402488926,1.5079352081763442,1.158557696164569,1.1092343997720349,1.5886077676439545,2.0092090514792837,1.6709548031541885,2.155612210308059,1.2864072223114107,1.7980340058286544,1.1662289592601571,1.4626744985580444,2.21363780313348,0.9021961132098918,1.2299935058336047,1.3328806399362445,1.802545576374295
tas,2028,1.655062560526422,1.4619710445351188,1.2587780698152546,1.0630007634722745,1.6218134094392458,2.091232938004296,1.7689182917987505,1.9906307493579807,1.3727798447691792,1.902333810567806,1.251830050921015,1.6165084838867188,2.2699353277819134,1.0168119637478223,1.2860839823577095,1.497325324277914,1.7848092162944436
tas,2029,1.7257835453869983,1.517406167054683,1.3306374511692003,0.8245561795834391,1.6493190223201804,2.0354088101001033,1.6826505239839662,2.020776294581092,1.2627889907664194,1.9323530436650458,1.2883897390043728,1.641588807106018,2.2829289343230905,1.1824625143844258,1.4342331547570903,1.4320741145921356,1.7535199267727062
tas,2030,1.665490348903229,1.421675103309937,1.2562495087980068,0.9199547330593466,1.803823424845864,2.2421056739932417,1.6584176522221175,2.1520570479545236,1.379646973765702,1.9825278921602252,1.3298866586204052,1.859301209449768,2.266689907396928,1.510344317617547,1.6005353399699516,1.4692723601298876,1.792735532367961
tas,2031,1.611034171410779,1.514855276115289,1.3912996810545526,1.0872669329522846,1.6076078176722983,2.2783629451100893,1.5680206763438445,2.0116167483638066,1.1988743630567076,1.819371048619767,1.2956136345523863,1.9017333984375,2.3148692703346683,1.4165966308660387,1.6564837786270818,1.5941564240245754,1.6646768076666376
tas,2032,1.584470789137119,1.5119934159913697,1.3069570889599949,1.1170235805442985,1.7296879139718868,2.3416992235898704,1.7225316774644313,2.081548028087733,1.3420753560398897,1.8525605598650827,1.4323539115377883,1.8253530263900757,2.4436571139066956,1.0390054028177833,1.3867897762698742,1.6073480346968125,1.687648722545319
tas,2033,1.7263256929645745,1.5085805323628751,1.4920281165005445,1.1221817389688244,1.8893265968555397,2.3699111482789115,1.8186263670754765,2.1352897369131747,1.322169023266099,1.9988978576278622,1.3483991372955633,2.0015385150909424,2.369916216974834,0.8995112978080945,1.1346760757794765,1.6742688484038648,1.7333916913188478
tas,2034,1.569211266479769,1.4311789779509212,1.378461693649309,1.0910176476488165,2.043071141875108,2.3432961480908197,1.5907867124869786,2.0408039697919,1.2218681175091415,2.056886762951398,1.367353229426385,1.9627279043197632,2.421447103890813,1.0491335678368567,1.1513151503710002,1.7240168929394695,1.7834487213657866
tas,2035,1.7984177449206271,1.6847912553952114,1.4710605316040055,1.0047255842117266,2.022273225127023,2.3894952429216687,1.6412279317516294,2.1309315975098,1.2206923404477408,1.8845567556491716,1.3820854638794156,2.021756410598755,2.4734415617522294,1.176830854020172,1.4204032801329542,1.6497610795719926,1.8477039692913213
tas,2036,1.743856217154132,1.6405776266256709,1.5295457673625918,1.1091534572190558,2.104169980101233,2.468272555857548,1.825402546838826,2.31898503140404,1.4927212305734894,1.893561808762082,1.3764779287338011,1.8772913217544556,2.5466362063572774,1.3397058881454218,1.5954260196001826,1.6041874233961124,1.7901181408622335
tas,2037,1.7923938762111742,1.619169844776157,1.4318152036156988,1.2344380994577477,1.973093805935439,2.3952989667217537,2.0594811027658246,2.0897657237078042,1.4516338410041716,1.998937985694506,1.4171201995216904,2.10382080078125,2.4681695806964874,1.597336159483324,1.4101450617706586,1.6899382799524194,1.740002910926691
