,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0
tas,2015,1.0760123000940116,1.040788397703892,0.8948041998184569,0.6761591400888657,1.4160792277198577,1.6249666941108434,1.302421224531912,1.6386087860111236,1.1122714512810319,1.3933251959664072,0.9838005768256011,0.9079371145591892,1.3398691415786743,1.619121875673116,0.5215177910338346,1.0306759879135114,1.0505902339186595
tas,2016,1.1083146292164987,0.8548527773937783,0.980008976957194,0.7807939346762302,1.4754931645280085,1.6706200734166619,1.2741475299867915,1.7205273492505075,1.428911565109568,1.5332506115811526,0.9507084068597038,1.034764085199915,1.6731923818588257,1.6061781156662391,0.5235200205023981,1.0568744522440692,1.152833753215371
tas,2017,1.068253899607484,1.1011686697184473,0.9706978403284788,0.8762246541061955,1.261418485572155,1.8810836261147916,1.2163558234600156,1.829100497219945,1.3506899237390495,1.676315675015123,1.0914280003707926,1.054860968037526,1.80364990234375,1.5406950928416212,0.6798539720599971,1.0898881600082622,1.1692773481374654
tas,2018,1.309928472434687,1.1657661762093454,1.023549277706233,0.9171905391133729,1.324192983329316,1.8468030589974802,1.337878840328301,1.6689691822587491,1.212758504572406,1.4666378432501734,1.1878251134659432,1.1324389690018393,1.5333404541015625,1.6948223754051146,0.7630785115778119,1.2201770013949396,1.2133535255579535
tas,2019,1.459296807500209,1.0454455282559583,1.0671488305125887,0.9293714774919882,1.392763282244592,1.831911292923839,1.3584404102212204,1.713275128575295,1.3711284243144775,1.4867844440593292,1.09099718980958,1.1278918555645798,1.5015588998794556,1.855612876875303,0.937641808419618,1.0485665910652529,1.2928282860490394
tas,2020,1.3229169057600576,1.1247444421087398,1.1432907894627486,0.889858635366925,1.467563597458233,1.9030029511483282,1.2315782249698468,1.701995097639345,1.387409630487208,1.6393866986035543,1.0108888703925771,1.152755498740068,1.513837218284607,1.760723664105252,1.101029174960317,0.8951176615104259,1.1725905696914367
tas,2021,1.5341889387873853,1.1940816322211134,1.2529643536236155,0.9371434317137167,1.6421631310942597,1.8369288337191136,1.2795619501419822,1.7499690999663688,1.3132530521695525,1.7250669661493088,1.1521420956835395,1.1748562201724202,1.7116674184799194,1.852089830665373,0.9839137473363119,1.1502216309085564,1.2788701696427769
tas,2022,1.264208457617651,1.1838798468271154,1.2921540782095728,1.0027940124280263,1.5438996455940572,1.8808325969277224,1.474734436292967,1.854460132747666,1.4675055309496656,1.7292022057877006,1.3346304072000048,1.2267207926451533,1.4646453857421875,1.8758010056835843,0.7694431217940311,1.3744650836016348,1.426666574139342
tas,2023,1.5017137874311526,1.1690871339308633,1.2971810833764768,1.0547757631129902,1.5044515159782275,2.133919912812928,1.3409520513493145,1.9927204686793516,1.401610292241595,1.6701507914859566,1.2888656647377605,1.3529253321060917,1.5151697397232056,1.9239526447312347,0.8669724821118715,1.351435005901583,1.3965868486168678
tas,2024,1.3785668216766471,1.3648592364631231,1.2509769113478388,1.1351393603673472,1.7279395809713425,1.9972942292025522,1.4824848168457028,1.770048077964584,1.3211497671653045,1.8722342240055998,1.3200775207940059,1.342776784202248,1.5737152099609375,2.062164825172156,1.1164623171843953,1.2666466511080803,1.5121820836169964
tas,2025,1.4669847253453316,1.394295973787744,1.3913320722273756,0.9394452572693884,1.8632687717129528,1.9565119700961588,1.535754764670055,1.82429108500907,1.4818606940672272,1.9566134732295477,1.3203156226832486,1.2926937858828562,1.6208215951919556,2.273065970440655,1.2254147923672225,1.355589369756392,1.520731211666136
tas,2026,1.4894086459886562,1.5468211432461345,1.2995306104726627,1.0051796309294236,1.7619879306988129,2.183805441564701,1.5291288293481007,1.950475672604573,1.5138788686583335,1.993769124173511,1.4259146375255323,1.4130261854893433,1.6440633535385132,2.2891056436452524,1.227820081512012,1.207800722949429,1.3709412030289485
